Passer (id),Receiver (id),Start Time (s),Duration (s),End Time (s)
18,30,5.92,1.5999999999999996,7.52
30,37,16.0,0.7600000000000016,16.76
53,61,27.64,3.8000000000000007,31.44
61,80,32.88,0.9199999999999946,33.8
80,52,33.84,1.3599999999999994,35.2
52,80,33.84,1.519999999999996,35.36
83,84,40.8,0.35999999999999943,41.16
84,56,41.44,5.280000000000001,46.72
56,81,48.24,0.4399999999999977,48.68
81,84,48.96,0.19999999999999574,49.16
84,81,48.96,0.3999999999999986,49.36
106,79,50.48,4.240000000000002,54.72
84,121,57.28,1.0799999999999983,58.36
121,71,60.24,0.7199999999999989,60.96
79,55,65.88,0.20000000000000284,66.08
