data,epoch,eta,loss,loss_box_reg,loss_classifier,loss_objectness,loss_rpn_box_reg,lr,max_mem,step,time
0.7552,0,1:45:02,2.2619,0.0247,0.8878,1.1227,0.2266,0.000010,9078,0,1.6846
0.0002,0,0:40:12,0.6958,0.1174,0.1483,0.2592,0.1613,0.000509,9583,100,0.6555
0.0002,0,0:38:48,0.6550,0.1216,0.1651,0.2296,0.1397,0.001009,9583,200,0.6499
0.0002,0,0:37:36,0.6708,0.1265,0.1709,0.2209,0.1110,0.001508,9583,300,0.6539
0.0002,0,0:36:26,0.6245,0.1164,0.1711,0.2024,0.1230,0.002008,9583,400,0.6509
0.0002,0,0:35:20,0.6332,0.1602,0.1812,0.1793,0.0934,0.002507,9583,500,0.6553
0.0002,0,0:34:12,0.6371,0.1030,0.1620,0.2044,0.1197,0.003007,9583,600,0.6496
0.0001,0,0:33:06,0.6239,0.1275,0.1773,0.1740,0.1150,0.003506,9583,700,0.6499
0.0001,0,0:31:59,0.5972,0.1309,0.1654,0.1879,0.1239,0.004006,9583,800,0.6507
0.0001,0,0:30:53,0.6035,0.1231,0.1691,0.1889,0.1339,0.004505,9583,900,0.6469
0.0002,0,0:29:47,0.5918,0.1339,0.1764,0.1670,0.1072,0.005000,9583,1000,0.6497
0.0002,0,0:28:41,0.5991,0.1271,0.1657,0.1745,0.1001,0.005000,9583,1100,0.6489
0.0002,0,0:27:35,0.5807,0.1183,0.1655,0.1896,0.1028,0.005000,9583,1200,0.6492
0.0001,0,0:26:29,0.5579,0.1323,0.1622,0.1584,0.1042,0.005000,9583,1300,0.6509
0.0002,0,0:25:24,0.5833,0.1330,0.1670,0.1679,0.0828,0.005000,9583,1400,0.6496
0.0001,0,0:24:19,0.5558,0.1325,0.1686,0.1768,0.0889,0.005000,9583,1500,0.6478
0.0001,0,0:23:14,0.5887,0.1405,0.1812,0.1548,0.1020,0.005000,9583,1600,0.6505
0.0001,0,0:22:08,0.5309,0.1353,0.1557,0.1572,0.0860,0.005000,9583,1700,0.6509
0.0001,0,0:21:03,0.5903,0.1305,0.1733,0.1603,0.1052,0.005000,9583,1800,0.6514
0.0001,0,0:19:58,0.5399,0.1018,0.1532,0.1813,0.0843,0.005000,9583,1900,0.6510
0.0001,0,0:18:53,0.5529,0.1145,0.1507,0.1585,0.1045,0.005000,9583,2000,0.6493
0.0002,0,0:17:48,0.5710,0.1193,0.1665,0.1455,0.0829,0.005000,9583,2100,0.6501
0.0002,0,0:16:43,0.5518,0.1126,0.1647,0.1827,0.0957,0.005000,9583,2200,0.6509
0.0001,0,0:15:37,0.5546,0.1193,0.1541,0.1788,0.0969,0.005000,9583,2300,0.6539
0.0001,0,0:14:32,0.5221,0.1060,0.1555,0.1698,0.0675,0.005000,9583,2400,0.6473
0.0001,0,0:13:27,0.5723,0.1315,0.1723,0.1625,0.1093,0.005000,9583,2500,0.6561
0.0002,0,0:12:22,0.5710,0.1132,0.1704,0.1541,0.0891,0.005000,9583,2600,0.6491
0.0001,0,0:11:17,0.5184,0.1001,0.1555,0.1807,0.0747,0.005000,9583,2700,0.6499
0.0002,0,0:10:12,0.5671,0.1052,0.1625,0.1865,0.0853,0.005000,9583,2800,0.6504
0.0001,0,0:09:07,0.4878,0.1138,0.1446,0.1528,0.0845,0.005000,9583,2900,0.6525
0.0001,0,0:08:02,0.5332,0.1200,0.1633,0.1687,0.0860,0.005000,9583,3000,0.6497
0.0002,0,0:06:57,0.5257,0.1187,0.1609,0.1481,0.0743,0.005000,9583,3100,0.6530
0.0001,0,0:05:52,0.4984,0.0997,0.1559,0.1508,0.0943,0.005000,9583,3200,0.6494
0.0001,0,0:04:46,0.5852,0.1211,0.1714,0.1702,0.0911,0.005000,9583,3300,0.6556
0.0001,0,0:03:41,0.5393,0.1286,0.1556,0.1498,0.0661,0.005000,9583,3400,0.6507
0.0002,0,0:02:36,0.5346,0.1115,0.1686,0.1548,0.0752,0.005000,9583,3500,0.6512
0.0001,0,0:01:31,0.5300,0.1188,0.1563,0.1337,0.0785,0.005000,9583,3600,0.6502
0.0002,0,0:00:26,0.5090,0.1105,0.1489,0.1409,0.0853,0.005000,9583,3700,0.6493
0.0002,0,0:00:00,0.5388,0.1062,0.1641,0.1783,0.0796,0.005000,9583,3740,0.6325
0.8064,1,1:34:32,0.4834,0.1425,0.1560,0.1324,0.0525,0.005000,9583,0,1.5164
0.0002,1,0:39:58,0.4342,0.0854,0.1420,0.1587,0.0680,0.005000,9583,100,0.6486
0.0002,1,0:38:43,0.4694,0.1221,0.1484,0.1251,0.0582,0.005000,9583,200,0.6528
0.0002,1,0:37:33,0.4975,0.1172,0.1584,0.1516,0.0846,0.005000,9583,300,0.6542
0.0002,1,0:36:26,0.4621,0.1079,0.1499,0.1501,0.0753,0.005000,9583,400,0.6495
0.0002,1,0:35:20,0.5176,0.1007,0.1579,0.1505,0.0861,0.005000,9583,500,0.6535
0.0002,1,0:34:13,0.4860,0.1035,0.1523,0.1524,0.0849,0.005000,9583,600,0.6514
0.0002,1,0:33:07,0.5384,0.1353,0.1831,0.1450,0.0754,0.005000,9583,700,0.6524
0.0002,1,0:32:01,0.5199,0.1032,0.1686,0.1771,0.0912,0.005000,9583,800,0.6534
0.0001,1,0:30:56,0.5204,0.1108,0.1621,0.1548,0.0819,0.005000,9583,900,0.6504
0.0002,1,0:29:50,0.5163,0.1071,0.1610,0.1676,0.0688,0.005000,9583,1000,0.6514
0.0002,1,0:28:45,0.5518,0.1248,0.1614,0.1406,0.1044,0.005000,9583,1100,0.6529
0.0002,1,0:27:40,0.4957,0.0990,0.1446,0.1599,0.0710,0.005000,9583,1200,0.6511
0.0002,1,0:26:34,0.5188,0.1247,0.1735,0.1293,0.0757,0.005000,9583,1300,0.6524
0.0003,1,0:25:28,0.5564,0.1028,0.1553,0.1716,0.0999,0.005000,9583,1400,0.6497
0.0002,1,0:24:23,0.5154,0.1145,0.1511,0.1422,0.0783,0.005000,9583,1500,0.6487
0.0001,1,0:23:17,0.5334,0.1184,0.1493,0.1422,0.0783,0.005000,9583,1600,0.6490
0.0002,1,0:22:11,0.4959,0.1229,0.1611,0.1104,0.0678,0.005000,9583,1700,0.6485
0.0001,1,0:21:06,0.5351,0.1136,0.1725,0.1649,0.0808,0.005000,9583,1800,0.6524
0.0001,1,0:20:00,0.4981,0.1206,0.1557,0.1585,0.0770,0.005000,9583,1900,0.6499
0.0002,1,0:18:55,0.4829,0.1533,0.1464,0.1189,0.0869,0.005000,9583,2000,0.6511
0.0002,1,0:17:50,0.4859,0.1258,0.1604,0.1278,0.0760,0.005000,9583,2100,0.6520
0.0002,1,0:16:44,0.5443,0.1184,0.1593,0.1565,0.0780,0.005000,9583,2200,0.6513
0.0002,1,0:15:39,0.4736,0.1075,0.1506,0.1423,0.0714,0.005000,9583,2300,0.6476
0.0001,1,0:14:33,0.4906,0.1110,0.1479,0.1396,0.0670,0.005000,9583,2400,0.6510
0.0001,1,0:13:28,0.5355,0.1164,0.1614,0.1573,0.0936,0.005000,9583,2500,0.6477
0.0001,1,0:12:23,0.4903,0.1228,0.1675,0.1273,0.0747,0.005000,9583,2600,0.6514
0.0002,1,0:11:18,0.4800,0.1131,0.1565,0.1296,0.0797,0.005000,9583,2700,0.6485
0.0002,1,0:10:13,0.5076,0.1229,0.1586,0.1442,0.0658,0.005000,9583,2800,0.6492
0.0002,1,0:09:07,0.4934,0.0936,0.1487,0.1501,0.0585,0.005000,9583,2900,0.6470
0.0001,1,0:08:02,0.5261,0.1269,0.1662,0.1482,0.0859,0.005000,9583,3000,0.6509
0.0001,1,0:06:57,0.5181,0.1359,0.1750,0.1227,0.0841,0.005000,9583,3100,0.6522
0.0002,1,0:05:52,0.4945,0.1040,0.1507,0.1512,0.0699,0.005000,9583,3200,0.6505
0.0001,1,0:04:47,0.4605,0.1251,0.1473,0.1068,0.0676,0.005000,9583,3300,0.6505
0.0002,1,0:03:42,0.5257,0.1274,0.1619,0.1205,0.0640,0.005000,9583,3400,0.6510
0.0001,1,0:02:37,0.4623,0.1065,0.1514,0.1360,0.0668,0.005000,9583,3500,0.6489
0.0001,1,0:01:31,0.5431,0.1418,0.1715,0.1452,0.0641,0.005000,9583,3600,0.6493
0.0001,1,0:00:26,0.5046,0.1229,0.1650,0.1318,0.0793,0.005000,9583,3700,0.6568
0.0002,1,0:00:00,0.4909,0.1338,0.1669,0.1156,0.0666,0.005000,9583,3740,0.6343
