Epoch,Metric Type,IoU,Area,maxDets,Value
0,Precision,0.50:0.95,all,100,0.159
0,Precision,0.50,all,100,0.290
0,Precision,0.75,all,100,0.158
0,Precision,0.50:0.95,small,100,0.066
0,Precision,0.50:0.95,medium,100,0.135
0,Precision,0.50:0.95,large,100,0.310
0,Recall,0.50:0.95,all,1,0.105
0,Recall,0.50:0.95,all,10,0.284
0,Recall,0.50:0.95,all,100,0.503
0,Recall,0.50:0.95,small,100,0.332
0,Recall,0.50:0.95,medium,100,0.436
0,Recall,0.50:0.95,large,100,0.739
1,Precision,0.50:0.95,all,100,0.163
1,Precision,0.50,all,100,0.299
1,Precision,0.75,all,100,0.160
1,Precision,0.50:0.95,small,100,0.050
1,Precision,0.50:0.95,medium,100,0.134
1,Precision,0.50:0.95,large,100,0.343
1,Recall,0.50:0.95,all,1,0.103
1,Recall,0.50:0.95,all,10,0.262
1,Recall,0.50:0.95,all,100,0.477
1,Recall,0.50:0.95,small,100,0.261
1,Recall,0.50:0.95,medium,100,0.396
1,Recall,0.50:0.95,large,100,0.731
2,Precision,0.50:0.95,all,100,0.136
2,Precision,0.50,all,100,0.253
2,Precision,0.75,all,100,0.134
2,Precision,0.50:0.95,small,100,0.048
2,Precision,0.50:0.95,medium,100,0.116
2,Precision,0.50:0.95,large,100,0.288
2,Recall,0.50:0.95,all,1,0.087
2,Recall,0.50:0.95,all,10,0.228
2,Recall,0.50:0.95,all,100,0.425
2,Recall,0.50:0.95,small,100,0.222
2,Recall,0.50:0.95,medium,100,0.366
2,Recall,0.50:0.95,large,100,0.718
3,Precision,0.50:0.95,all,100,0.162
3,Precision,0.50,all,100,0.293
3,Precision,0.75,all,100,0.160
3,Precision,0.50:0.95,small,100,0.065
3,Precision,0.50:0.95,medium,100,0.147
3,Precision,0.50:0.95,large,100,0.349
3,Recall,0.50:0.95,all,1,0.100
3,Recall,0.50:0.95,all,10,0.255
3,Recall,0.50:0.95,all,100,0.432
3,Recall,0.50:0.95,small,100,0.254
3,Recall,0.50:0.95,medium,100,0.380
3,Recall,0.50:0.95,large,100,0.734
4,Precision,0.50:0.95,all,100,0.146
4,Precision,0.50,all,100,0.266
4,Precision,0.75,all,100,0.148
4,Precision,0.50:0.95,small,100,0.055
4,Precision,0.50:0.95,medium,100,0.129
4,Precision,0.50:0.95,large,100,0.342
4,Recall,0.50:0.95,all,1,0.077
4,Recall,0.50:0.95,all,10,0.221
4,Recall,0.50:0.95,all,100,0.377
4,Recall,0.50:0.95,small,100,0.209
4,Recall,0.50:0.95,medium,100,0.312
4,Recall,0.50:0.95,large,100,0.728
