Passer (id),Receiver (id),Start Time (s),Duration (s),End Time (s)
11,4,0.0,0.36,0.36
4,10,0.0,3.72,3.72
10,15,4.28,1.08,5.36
15,14,4.28,1.2799999999999994,5.56
14,22,5.76,3.84,9.6
34,6,16.68,3.7600000000000016,20.44
39,36,20.8,0.23999999999999844,21.04
36,39,20.8,0.3999999999999986,21.2
39,36,20.8,0.8000000000000007,21.6
46,31,33.12,0.6000000000000014,33.72
31,46,33.12,0.8800000000000026,34.0
8,19,36.4,1.4400000000000048,37.84
19,16,38.0,0.3999999999999986,38.4
67,70,40.36,1.0,41.36
64,16,52.32,0.8399999999999963,53.16
36,63,55.2,0.35999999999999943,55.56
63,67,57.72,1.5600000000000023,59.28
67,84,66.88,0.4399999999999977,67.32
84,70,70.68,0.519999999999996,71.2
62,92,75.56,2.280000000000001,77.84
108,114,78.36,6.400000000000006,84.76
114,108,78.36,8.0,86.36
123,111,89.92,0.5999999999999943,90.52
139,145,97.44,0.1599999999999966,97.6
145,157,97.68,1.4799999999999898,99.16
152,159,99.68,0.5599999999999881,100.24
159,167,102.08,0.7999999999999972,102.88
167,126,102.96,2.9200000000000017,105.88
126,127,102.96,3.4000000000000057,106.36
126,154,110.52,1.7999999999999972,112.32
